Author,Work,Book,Chapter,Line,Greek,English
Pausanias,Description of Greece,1,14,7,"πλησίον δὲ ἱερόν ἐστιν Ἀφροδίτης Οὐρανίας. πρώτοις δὲ ἀνθρώπων Ἀσσυρίοις κατέστη σέβεσθαιτὴν Οὐρανίαν, μετὰ δὲ Ἀσσυρίους Κυπρίων Παφίοιςκαὶ Φοινίκων τοῖς Ἀσκάλωνα ἔχουσιν ἐν τῇΠαλαιστίνῃ, παρὰ δὲ Φοινίκων Κυθήριοι μαθόντεςσέβουσιν: Ἀθηναίοις δὲ κατεστήσατο Αἰγεύς, αὑτῷ τεοὐκ εἶναι παῖδας νομίζων—οὐ γάρ πω τότε ἦσαν— καὶταῖς ἀδελφαῖς γενέσθαι τὴν συμφορὰν ἐκ μηνίματοςτῆς Οὐρανίας. τὸ δὲ ἐφ᾽ ἡμῶν ἔτι ἄγαλμα λίθουΠαρίου καὶ ἔργον Φειδίου: δῆμος δέ ἐστιν ἈθηναίοιςἈθμονέων, οἳ Πορφυρίωνα ἔτι πρότερον Ἀκταίουβασιλεύσαντα τῆς Οὐρανίας φασὶ τὸ παρὰ σφίσινἱερὸν ἱδρύσασθαι. λέγουσι δὲ ἀνὰ τοὺς δήμους καὶἄλλα οὐδὲν ὁμοίως καὶ οἱ τὴν πόλιν ἔχοντες.","Hard by is a sanctuary of the Heavenly Aphrodite; the first men to establish her cult were the Assyrians, after the Assyrians the Paphians of Cyprus and the Phoenicians who live at Ascalon in Palestine; the Phoenicians taught her worship to the people of Cythera. Among the Athenians the cult was established by Aegeus, who thought that he was childless (he had, in fact, no children at the time) and that his sisters had suffered their misfortune because of the wrath of Heavenly Aphrodite. The statue still extant is of Parian marble and is the work of Pheidias. One of the Athenian parishes is that of the Athmoneis, who say that Porphyrion, an earlier king than Actaeus, founded their sanctuary of the Heavenly One. But the traditions current among the Parishes often differ altogether from those of the city."
Pausanias,Description of Greece,1,18,8,"κεῖται δὲ ἐπὶ κίονος Ἰσοκράτους ἀνδριάς, ὃς ἐςμνήμην τρία ὑπελίπετο, ἐπιπονώτατον μὲν ὅτι οἱβιώσαντι ἔτη δυοῖν δέοντα ἑκατὸν οὔποτε κατελύθημαθητὰς ἔχειν, σωφρονέστατον δὲ ὅτι πολιτείαςἀπεχόμενος διέμεινε καὶ τὰ κοινὰ οὐ πολυπραγμονῶν, ἐλευθερώτατον δὲ ὅτι πρὸς τὴν ἀγγελίαν τῆς ἐνΧαιρωνείᾳ μάχης ἀλγήσας ἐτελεύτησεν ἐθελοντής. κεῖνται δὲ καὶ λίθου Φρυγίου Πέρσαι χαλκοῦν τρίποδαἀνέχοντες, θέας ἄξιοι καὶ αὐτοὶ καὶ ὁ τρίπους. τοῦ δὲὈλυμπίου Διὸς Δευκαλίωνα οἰκοδομῆσαι λέγουσι τὸἀρχαῖον ἱερόν, σημεῖον ἀποφαίνοντες ὡς ΔευκαλίωνἈθήνῃσιν ᾤκησε τάφον τοῦ ναοῦ τοῦ νῦν οὐ πολὺἀφεστηκότα.","On a pillar is a statue of Isocrates, whose memory is remarkable for three things: his diligence in continuing to teach to the end of his ninety-eight years, his self-restraint in keeping aloof from politics and from interfering with public affairs, and his love of liberty in dying a voluntary death, distressed at the news of the battle at Chaeronea.65 There are also statues in Phrygian marble of Persians supporting a bronze tripod; both the figures and the tripod are worth seeing. The ancient sanctuary of Olympian Zeus the Athenians say was built by Deucalion, and they cite as evidence that Deucalion lived at Athens a grave which is not far from the present temple."
Pausanias,Description of Greece,1,18,9,"Ἀδριανὸς δὲ κατεσκευάσατο μὲν καὶ ἄλλαἈθηναίοις, ναὸν Ἥρας καὶ Διὸς Πανελληνίου καὶ θεοῖςτοῖς πᾶσιν ἱερὸν κοινόν, τὰ δὲ ἐπιφανέστατα ἑκατόνεἰσι κίονες Φρυγίου λίθου: πεποίηνται δὲ καὶ ταῖςστοαῖς κατὰ τὰ αὐτὰ οἱ τοῖχοι. καὶ οἰκήματα ἐνταῦθάἐστιν ὀρόφῳ τε ἐπιχρύσῳ καὶ ἀλαβάστρῳ λίθῳ, πρὸς δὲἀγάλμασι κεκοσμημένα καὶ γραφαῖς: κατάκειται δὲ ἐςαὐτὰ βιβλία. καὶ γυμνάσιόν ἐστιν ἐπώνυμον Ἀδριανοῦ: κίονες δὲ καὶ ἐνταῦθα ἑκατὸν λιθοτομίας τῆς Λιβύων.","Hadrian constructed other buildings also for the Athenians: a temple of Hera and Zeus Panellenios (Common to all Greeks), a sanctuary common to all the gods, and, most famous of all, a hundred pillars of Phrygian marble. The walls too are constructed of the same material as the cloisters. And there are rooms there adorned with a gilded roof and with alabaster stone, as well as with statues and paintings. In them are kept books. There is also a gymnasium named after Hadrian; of this too the pillars are a hundred in number from the Libyan quarries."
Pausanias,Description of Greece,1,19,6,"διαβᾶσι δὲ τὸν Ἰλισὸν χωρίον Ἄγραι καλούμενονκαὶ ναὸς Ἀγροτέρας ἐστὶν Ἀρτέμιδος: ἐνταῦθα Ἄρτεμινπρῶτον θηρεῦσαι λέγουσιν ἐλθοῦσαν ἐκ Δήλου, καὶ τὸἄγαλμα διὰ τοῦτο ἔχει τόξον. τὸ δὲ ἀκούσασι μὲν οὐχὁμοίως ἐπαγωγόν, θαῦμα δ᾽ ἰδοῦσι, στάδιόν ἐστιλευκοῦ λίθου. μέγεθος δὲ αὐτοῦ τῇδε ἄν τις μάλιστατεκμαίροιτο: ἄνωθεν ὄρος ὑπὲρ τὸν Ἰλισὸν ἀρχόμενονἐκ μηνοειδοῦς καθήκει τοῦ ποταμοῦ πρὸς τὴν ὄχθηνεὐθύ τε καὶ διπλοῦν. τοῦτο ἀνὴρ Ἀθηναῖος Ἡρώδηςᾠκοδόμησε, καί οἱ τὸ πολὺ τῆς λιθοτομίας τῆςΠεντελῆσιν ἐς τὴν οἰκοδομὴν ἀνηλώθη.","Across the Ilisus is a district called Agrae and a temple of Artemis Agrotera (the Huntress). They say that Artemis first hunted here when she came from Delos, and for this reason the statue carries a bow. A marvel to the eyes, though not so impressive to hear of, is a race-course of white marble, the size of which can best be estimated from the fact that beginning in a crescent on the heights above the Ilisus it descends in two straight lines to the river bank. This was built by Herodes, an Athenian, and the greater part of the Pentelic quarry was exhausted in its construction."
Pausanias,Description of Greece,1,22,4,"ἐς δὲ τὴν ἀκρόπολίν ἐστιν ἔσοδος μία: ἑτέραν δὲ οὐπαρέχεται, πᾶσα ἀπότομος οὖσα καὶ τεῖχος ἔχουσαἐχυρόν. τὰ δὲ προπύλαια λίθου λευκοῦ τὴν ὀροφὴνἔχει καὶ κόσμῳ καὶ μεγέθει τῶν λίθων μέχρι γε καὶἐμοῦ προεῖχε. τὰς μὲν οὖν εἰκόνας τῶν ἱππέων οὐκ ἔχωσαφῶς εἰπεῖν, εἴτε οἱ παῖδές εἰσιν οἱ Ξενοφῶντος εἴτεἄλλως ἐς εὐπρέπειαν πεποιημέναι: τῶν δὲ προπυλαίωνἐν δεξιᾷ Νίκης ἐστὶν Ἀπτέρου ναός. ἐντεῦθεν ἡθάλασσά ἐστι σύνοπτος, καὶ ταύτῃ ῥίψας Αἰγεὺςἑαυτὸν ὡς λέγουσιν ἐτελεύτησεν.","There is but one entry to the Acropolis. It affords no other, being precipitous throughout and having a strong wall. The gateway has a roof of white marble, and down to the present day it is unrivalled for the beauty and size of its stones. Now as to the statues of the horsemen, I cannot tell for certain whether they are the sons of Xenophon or whether they were made merely to beautify the place. On the right of the gateway is a temple of Wingless Victory. From this point the sea is visible, and here it was that, according to legend, Aegeus threw him self down to his death."
Pausanias,Description of Greece,1,32,5,"συνέβη δὲ ὡς λέγουσιν ἄνδρα ἐν τῇ μάχῃ παρεῖναιτὸ εἶδος καὶ τὴν σκευὴν ἄγροικον: οὗτος τῶν βαρβάρωνπολλοὺς καταφονεύσας ἀρότρῳ μετὰ τὸ ἔργον ἦνἀφανής: ἐρομένοις δὲ Ἀθηναίοις ἄλλο μὲν ὁ θεὸς ἐςαὐτὸν ἔχρησεν οὐδέν, τιμᾶν δὲ Ἐχετλαῖον ἐκέλευσενἥρωα. πεποίηται δὲ καὶ τρόπαιον λίθου λευκοῦ. τοὺς δὲΜήδους Ἀθηναῖοι μὲν θάψαι λέγουσιν ὡς πάντωςὅσιον ἀνθρώπου νεκρὸν γῇ κρύψαι, τάφον δὲ οὐδέναεὑρεῖν ἐδυνάμην: οὔτε γὰρ χῶμα οὔτε ἄλλο σημεῖον ἦνἰδεῖν, ἐς ὄρυγμα δὲ φέροντες σφᾶς ὡς τύχοιενἐσέβαλον.","They say too that there chanced to be present in the battle a man of rustic appearance and dress. Having slaughtered many of the foreigners with a plough he was seen no more after the engagement. When the Athenians made enquiries at the oracle the god merely ordered them to honor Echetlaeus (He of the Plough-tail) as a hero. A trophy too of white marble has been erected. Although the Athenians assert that they buried the Persians, because in every case the divine law applies that a corpse should be laid under the earth, yet I could find no grave. There was neither mound nor other trace to be seen, as the dead were carried to a trench and thrown in anyhow."
Pausanias,Description of Greece,1,33,2,"Μαραθῶνος δὲ σταδίους μάλιστα ἑξήκοντα ἀπέχει Ῥαμνοῦς τὴν παρὰ θάλασσαν ἰοῦσιν ἐς
Ὠρωπόν. καὶ αἱ μὲν οἰκήσεις ἐπὶ θαλάσσῃ τοῖς ἀνθρώποις εἰσί, μικρὸν δὲ ἀπὸ θαλάσσης ἄνω Νεμέσεώς ἐστιν ἱερόν, ἣ θεῶν μάλιστα ἀνθρώποις ὑβρισταῖς ἐστιν ἀπαραίτητος. δοκεῖ δὲ καὶ τοῖς ἀποβᾶσιν ἐς Μαραθῶνα τῶν βαρβάρων ἀπαντῆσαι μήνιμα ἐκ τῆς θεοῦ ταύτης: καταφρονήσαντες γὰρ μηδέν σφισιν ἐμποδὼν εἶναι τὰς Ἀθήνας ἑλεῖν, λίθον Πάριον ὃν ὡς ἐπ᾽ ἐξειργασμένοις ἦγον ἐς τροπαίου ποίησιν.","About sixty stades from Marathon as you go along the road by the sea to Oropus stands Rhamnus. The dwelling houses are on the coast, but a little way inland is a sanctuary of Nemesis, the most implacable deity to men of violence. It is thought that the wrath of this goddess fell also upon the foreigners who landed at Marathon. For thinking in their pride that nothing stood in the way of their taking Athens, they were bringing a piece of Parian marble to make a trophy, convinced that their task was already finished."
Pausanias,Description of Greece,1,33,3,"τοῦτον Φειδίας τὸν λίθον εἰργάσατο ἄγαλμα μὲνεἶναι Νεμέσεως, τῇ κεφαλῇ δὲ ἔπεστι τῆς θεοῦστέφανος ἐλάφους ἔχων καὶ Νίκης ἀγάλματα οὐμεγάλα: ταῖς δὲ χερσὶν ἔχει τῇ μὲν κλάδον μηλέας, τῆδεξιᾷ δὲ φιάλην, Αἰθίοπες δὲ ἐπὶ τῇ φιάλῃ πεποίηνται. συμβαλέσθαι δὲ τὸ ἐς τοὺς Αἰθίοπας οὔτε αὐτὸς εἶχονοὔτε ἀπεδεχόμην τῶν συνιέναι πειθομένων, οἳπεποιῆσθαι σφᾶς ἐπὶ τῇ φιάλῃ φασὶ διὰ ποταμὸνὨκεανόν: οἰκεῖν γὰρ Αἰθίοπας ἐπ᾽ αὐτῷ, Νεμέσει δὲεἶναι πατέρα Ὠκεανόν.","Of this marble Pheidias made a statue of Nemesis, and on the head of the goddess is a crown with deer and small images of Victory. In her left hand she holds an apple branch, in her right hand a cup on which are wrought Aethiopians. As to the Aethiopians, I could hazard no guess myself, nor could I accept the statement of those who are convinced that the Aethiopians have been carved upon the cup be cause of the river Ocean. For the Aethiopians, they say, dwell near it, and Ocean is the father of Nemesis."
Pausanias,Description of Greece,1,34,2,"λέγεται δὲ Ἀμφιαράῳ φεύγοντι ἐκ Θηβῶν διαστῆναιτὴν γῆν καὶ ὡς αὐτὸν ὁμοῦ καὶ τὸ ἅρμα ὑπεδέξατο: πλὴν οὐ ταύτῃ συμβῆναί φασιν, ἀλλά ἐστιν ἐκ Θηβῶνἰοῦσιν ἐς Χαλκίδα Ἅρμα καλούμενον. θεὸν δὲἈμφιάραον πρώτοις Ὠρωπίοις κατέστη νομίζειν, ὕστερον δὲ καὶ οἱ πάντες Ἕλληνες ἥγηνται. καταλέξαιδὲ καὶ ἄλλους ἔχω γενομένους τότε ἀνθρώπους, οἳθεῶν παρ᾽ Ἕλλησι τιμὰς ἔχουσι, τοῖς δὲ καὶ ἀνάκεινταιπόλεις, Ἐλεοῦς ἐν Χερρονήσῳ Πρωτεσιλάῳ, ΛεβάδειαΒοιωτῶν Τροφωνίῳ: καὶ Ὠρωπίοις ναός τέ ἐστινἈμφιαράου καὶ ἄγαλμα λευκοῦ λίθου.","Legend says that when Amphiaraus was exiled from Thebes the earth opened and swallowed both him and his chariot. Only they say that the incident did not happen here, the place called the Chariot being on the road from Thebes to Chalcis. The divinity of Amphiaraus was first established among the Oropians, from whom afterwards all the Greeks received the cult. I can enumerate other men also born at this time who are worshipped among the Greeks as gods; some even have cities dedicated to them, such as Eleus in Chersonnesus dedicated to Protesilaus, and Lebadea of the Boeotians dedicated to Trophonius. The Oropians have both a temple and a white marble statue of Amphiaraus."
Pausanias,Description of Greece,1,42,5,"τοῦ δὲ Ἀπόλλωνος πλίνθου μὲν ἦν ὁ ἀρχαῖος ναός: ὕστερον δὲ βασιλεὺς ᾠκοδόμησεν Ἀδριανὸς λίθουλευκοῦ. ὁ μὲν δὴ Πύθιος καλούμενος καὶ ὁΔεκατηφόρος τοῖς Αἰγυπτίοις μάλιστα ἐοίκασι ξοάνοις, ὃν δὲ Ἀρχηγέτην ἐπονομάζουσιν, Αἰγινητικοῖς ἔργοιςἐστὶν ὅμοιος: ἐβένου δὲ πάντα ὁμοίως πεποίηται. ἤκουσα δὲ ἀνδρὸς Κυπρίου διακρῖναι πόας ἐςἀνθρώπων ἴασιν εἰδότος, ὃς τὴν ἔβενον φύλλα οὐκ ἔφηφύειν οὐδὲ εἶναι καρπὸν οὐδένα ἀπ᾽ αὐτῆς οὐδὲὁρᾶσθαι τὸ παράπαν αὐτὴν ὑπὸ ἡλίου, ῥίζας δὲὑπογαίους εἶναι, ταύτας δὲ ὀρύσσειν τοὺς Αἰθίοπας καὶἄνδρας εἶναί σφισιν οἳ τὴν ἔβενον ἴσασιν εὑρίσκειν.","The ancient temple of Apollo was of brick, but the emperor Hadrian afterwards built it of white marble. The Apollo called Pythian and the one called Decatephorus (Bringer of Tithes) are very like the Egyptian wooden images, but the one surnamed Archegetes (Founder) resembles Aeginetan works. They are all alike made of ebony. I have heard a man of Cyprus, who was skilled at sorting herbs for medicinal purposes, say that the ebony does not grow leaves or bear fruit, or even appear in the sunlight at all, but consists of underground roots which are dug up by the Aethiopians, who have men skilled at finding ebony."
