common_name,sci_name,sci_name_cite,distribution,distribution_cite,tree_rad_low,tree_rad_low_cite,tree_rad_high,tree_rad_high_cite,density,density_cite,janka_hardness,janka_hardness_cite,rupture_modulus,rupture_modulus_cite,elastic_modulus,elastic_modulus_cite,crushing_strength,crushing_strength_cite,shrink_rad,shrink_rad_cite,shrink_tan,shrink_tan_cite,shrink_volumetric,shrink_volumetric_cite,rot_resistance,rot_resistance_cite,workability,workability_cite,common_uses,common_uses_cite,primary_sources,primary_sources_cite,archaeological_sources,archaeological_sources_cite,shapefile,shapefile_cite,secondary_sources,secondary_sources_cite,notes,notes_cite,tree_height_low,tree_height_low_cite,tree_height_high,tree_height_high_cite,image,image_cite
" abura, bahia",mitragynaspp. (sometimes listed as hallea or fleroya genera),1,west and central africa,1,1,1,1.5,1,560,1,3670,1,81.1,1,9.56,1,42.9,1,4.3,1,9.2,1,13.3,1,non-durable; poor resistance to decay or insect attack. good acid resistance.,1,takes glue and finishes well. has a slight blunting effect on cutting edges and tools due to a moderate silica content (.25%).,1," a general-purpose lumber used for furniture, interior millwork, plywood, and flooring.",1,,,,,,,,,,,30,1,35,1,,
" afrormosia, afromosia, african teak",pericopsis elata,1,west africa,1,1,1,1.5,1,725,1,6980,1,102.9,1,11.83,1,66,1,3.2,1,6.2,1,9.9,1," rated as very durable regarding decay resistance, and is also resistant to termites and other insects.",1,"in nearly all regards, afrormosia is easy to work with both hand and machine tools, though surfacing boards with interlocking grain may cause tearout. other downsides include a slight blunting effect on cutting edges, and the development of dark stains if left in contact with iron in damp conditions. afrormosia turns, glues, stains, and finishes well.",1," boatbuilding, veneer, flooring, and furniture.",1,,,,,,,,,,,30,1,46,1,,
" afzelia, doussie",afzelia spp.,1,africa and southeast asia,1,1,1,1.5,1,805,1,8050,1,122.3,1,14.44,1,74.1,1,2.3,1,3.9,1,6.3,1," rated as very durable. moderately resistant to termites, and variously resistant/susceptible to other insect attacks.",1,"generally considered somewhat difficult to work on account of its interlocked grain, causing tearout during machining operations. afzelia also has a pronounced dulling effect on cutters. gluing and finishing can be variable, and some species contain water-soluble yellow deposits in the pores which can pose challenges in staining or finishing with water-based products.",1," furniture,cabinetry, veneer, flooring, docks, boatbuilding, exterior millwork and construction, turned objects, inlays, and other small specialty wood items.",1,,,,,,,,,,,25,1,37,1,,
"ailanthus, tree of heaven, chinese sumac",ailanthus altissima,1,native to china; widely naturalized worldwide,1,0.6,1,1,1,600,1,6300,1,76.2,1,11.19,1,46.1,1,6.1,1,10.8,1,17.1,1,no data available; reported to have good insect resistance.,1,"easy to work with hand and machine tools. turns, glues, stains, and finishes well.",1,"cabinetry, turned objects, and paper (pulpwood).",1,,,,,,,,,,,20,1,30,1,,
"albizia, tanga tanga","albizia spp. (a. ferruginea, a. versicolor)",1,tropical africa,1,0.6,1,1,1,605,1,4530,1,82.7,1,10.91,1,49.4,1,2.7,1,4.6,1,7.4,1,rated as moderately durable; poor insect resistance.,1,"moderately easy to work, though interlocked grain can cause tearout during surfacing operations. turns, glues, and finishes well.",1,"furniture, veneer, and turned objects.",1,,,,,,,,,,,30,1,40,1,,
" european alder, black alder, common alder",alnus glutinosa,1,western europe,1,0.3,1,0.6,1,495,1,2890,1,75.9,1,8.99,1,42.2,1,5,1,9,1,14,1," european alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood.",1,"european alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. european alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry.",1," veneer, plywood, charcoal for gunpowder, clogs, piles/supports, and turned items.",1,,,,,,,,,,,20,1,25,1,,
" nepalese alder, utis",alnus nepalensis,1,southeast asia,1,0.6,1,1,1,395,1,1690,1,51,1,8.28,1,33.8,1,2.4,1,6,1,9.3,1," nepalese alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood.",1,"nepalese alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. nepalese alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry.",1," interior utility wood, plywood, boxes, crates, and turned items.",1,,,,,,,,,,,20,1,30,1,,
" red alder, western red alder",alnus rubra,1,coastal western north america,1,0.6,1,1,1,450,1,2620,1,67.6,1,9.52,1,40.1,1,4.4,1,7.3,1,12.6,1," red alder is rated non-durable to perishable regarding decay resistance, and freshly cut logs should be quickly converted into lumber and dried to prevent staining or decay in the wood.",1,"red alder is very easy to work with both hand and machine tools; it sands especially easy. the wood is rather soft, however, and care must be taken to avoid denting it in some applications. red alder has excellent gluing, staining, and finishing properties; it also turns well and behaves similar to black cherry.",1," veneer, plywood, furniture, cabinetry, millwork, pallets, musical instruments (electric guitar bodies), and chip/pulp wood.",1,,,,,,,,,,,30,1,40,1,,
algarrobo blanco,prosopis alba,1,south america,1,0.6,1,1,1,785,1,7560,1,63.1,1,6.08,1,58.7,1,2.2,1,3.1,1,5.4,1,algarrobo blanco is rated as excellent for use in outdoor applications.,1,"working properties are largely dictated by the quality of the wood itself. mesquite that is clear and free from defects is easy to work with hand and machine tools, but irregular grain or knots can be challenging. glues, turns, and finishes well.",1," flooring, firewood, fence posts, cabinetry, and furniture.",1,,,,,,,,,,,9,1,12,1,,
" amazique, amazoue, mozambique, ovangkol, shedua",guibourtia ehie,1,tropical west africa,1,1,1,1.5,1,825,1,5900,1,140.3,1,18.6,1,64.2,1,4.3,1,8.3,1,12.1,1," rated as moderately durable, with good resistance to insect attack.",1,"overall a fairly easy wood to work, though ovangkol contains silica and can therefore dull cutters prematurely. also, if the grain is interlocked, or if there is other figure present in the wood, planing and other machining operations may be troublesome and cause tearout. turns, glues and finishes well.",1," veneer, furniture, cabinetry, turned objects, musical instruments, and flooring.",1,,,,,,,,,,,30,1,45,1,,
